,comments,labels
722,پنکه بسار عالیه بسیار کار راه اندازه پرداز آبشم عالیه,پیشنهاد می‌کنم
723,پنکه رومیزی,پیشنهاد می‌کنم
724,خیلی خیلی عالی هست,پیشنهاد می‌کنم
725,خوبه,پیشنهاد می‌کنم
726,عالی وبدون صدا,پیشنهاد می‌کنم
727,گران و کوچک,پیشنهاد نمی‌کنم
728,پنکه بی صدا وکار را اندازه,پیشنهاد می‌کنم
729,پنکه رومیزی,مطمئن نیستم
730,پنکه ای پر قدرت و اقتصادی,پیشنهاد می‌کنم
731,خوب,پیشنهاد می‌کنم
732,پرقدرت ، بیصدا ، کم مصرف,پیشنهاد می‌کنم
733,خوب بود,پیشنهاد می‌کنم
734,پنکه نسبت به قیمتش خوبه ولی از ارسال ناراضی ام,پیشنهاد می‌کنم
735,استفاده تک نفره,پیشنهاد می‌کنم
736,بسیار عالی و کاربردی,پیشنهاد می‌کنم
737,بسیار عالی,پیشنهاد می‌کنم
738,خوبه نصبت به قیمتش,پیشنهاد می‌کنم
739,خوبه,پیشنهاد می‌کنم
740,تند و کندش جابجاست,پیشنهاد می‌کنم
741,فن دمنده رومیزی,پیشنهاد می‌کنم
742,مناسب هست,پیشنهاد می‌کنم
743,عالی,پیشنهاد می‌کنم
744,خوب تنها ایرادش عدم چرخش پنکه و پایه ثابت بودن آن است.,پیشنهاد می‌کنم
745,بی نظیر,پیشنهاد می‌کنم
746,عالیه,پیشنهاد می‌کنم
747,مناسب,پیشنهاد می‌کنم
748,پرتاب یاد خوزی داره .و بی صدا.,پیشنهاد می‌کنم
749,تازه بدستم رسیده فعلاکه عالیه گذر زمان کاراییشو نشون میده امیدوارم که خوب باشه همیشه خوب کارکنه فقط درجه سرعتش فک میکنم برعکسه,پیشنهاد می‌کنم
750,خوبه,پیشنهاد می‌کنم
751,پنکه رو میزی,پیشنهاد می‌کنم
752,این پنکه شبانه روزی در ۹ ماه در حال کار کردنه ۳ بار هم از روی میز افتاده و هیچیش نشده با درجه ۳ که کم ترین سرعت اش صدای زیادی هم نداره,پیشنهاد می‌کنم
753,کاربردی,پیشنهاد می‌کنم
754,خوب,پیشنهاد می‌کنم
755,پنکه,پیشنهاد می‌کنم
756,بد نبود,مطمئن نیستم
757,عالی برای مواقعی که نمی خوای کولر بزنی,پیشنهاد می‌کنم
758,خوب بود,پیشنهاد می‌کنم
759,خیلی خوبه,پیشنهاد می‌کنم
760,پنکه بسیار بادوام,پیشنهاد می‌کنم
761,عالیه من برای سالن زیبایی گرفتم پرتاب بادش خوبه ممنون از دیجیکالا,پیشنهاد می‌کنم
762,عالی,پیشنهاد می‌کنم
763,وسیله ای ارزان اما به شدت کاربدی,پیشنهاد می‌کنم
764,عالیه. کاربردی. قیمتش هم خوبه,پیشنهاد می‌کنم
765,دمنده,پیشنهاد می‌کنم
766,پنکه رومیزی دمنده,پیشنهاد می‌کنم
767,حجم هوای قابل قبول,پیشنهاد می‌کنم
768,قطع کن خودکار داره زیادی داغ بشع موتورش خودش چند دقیقه استراحت میده و قطع می‌کنه جریان رو تا نسوزه گارانتی یک ساله داره و بسیار عالیه,پیشنهاد می‌کنم
769,نسبت به قیمت کار راه بندازه,پیشنهاد می‌کنم
770,یکساله دارمش عالیه,پیشنهاد می‌کنم
771,برای کاری که من لازم داشتم که گرداندن هوا تو فضای کوچک و خفه بود عالیه,پیشنهاد می‌کنم
772,عالیه.,پیشنهاد می‌کنم
773,خوب و کار راه اندازه,پیشنهاد می‌کنم
774,نسبت به قیمتش عالی,پیشنهاد می‌کنم
775,نسبت به مبلغش خوبه,پیشنهاد می‌کنم
776,پنکه رومیزی دمنده,پیشنهاد می‌کنم
777,عالی,پیشنهاد می‌کنم
778,بد نیست,مطمئن نیستم
779,مدتی است که دارم از این پنکه استفاده می کنم یکی از خرید هایی است که کاملا ازش راضیم کم صدا و علی رغم ظاهرش بسیار پر قدرت - ممنون از تولید کننده و دیجی کالا,پیشنهاد می‌کنم
780,کار راه بندازه,پیشنهاد می‌کنم
781,برای روی میز محل کار عالیه,پیشنهاد می‌کنم
782,راضی هستم,پیشنهاد می‌کنم
783,توصیه میکنم,پیشنهاد می‌کنم
784,برای فضای کوچیک‌مناسب است,پیشنهاد می‌کنم
785,پیشنهاد میکنم کارم رو راه انداخت تابستون کمتر گرما کشیدم,پیشنهاد می‌کنم
786,قیمت مناسب کیفیت خوب,پیشنهاد می‌کنم
787,بسته بندی ضعیف,مطمئن نیستم
788,پنکه,پیشنهاد می‌کنم
789,عالی و با کیفیت به نسبت پولی که میدید خوبه,پیشنهاد می‌کنم
790,عالی,پیشنهاد می‌کنم
791,واقعا عالیه در کتابخانه جا گذاشته بودم. تا ۱۲ ساعت روشن بود هیچی اش نشد .,پیشنهاد می‌کنم
792,رضایت از خرید,پیشنهاد می‌کنم
793,کاربردی,پیشنهاد می‌کنم
794,با ارزش,پیشنهاد می‌کنم
795,کار را انداز و سبک است,پیشنهاد می‌کنم
796,عاشقشم یکی دوسال پیش خریدم شب تا صبح روشن بود و هنوز مثل روز اولشه,پیشنهاد می‌کنم
797,برا اتاقم گرفتم عالیه روی دور کند به نظر من خیلی بهتره استفاده بشه,پیشنهاد می‌کنم
798,اقتصادی,پیشنهاد می‌کنم
799,ابعاد مناسب,پیشنهاد می‌کنم
800,پنکه رومیزی,پیشنهاد می‌کنم
801,پنکه,پیشنهاد می‌کنم
802,اندازه قیمتش می ارزه، اگه نمیخوایین خیلی هزینه کنین گزینه خوبیه.,پیشنهاد می‌کنم
803,پنکه خوبیه,پیشنهاد می‌کنم
804,بهترین خریدم,پیشنهاد می‌کنم
805,برای اتاق کوچک خوبه و سرد میکنه,پیشنهاد می‌کنم
806,پیشنهاد میکنم,پیشنهاد می‌کنم
807,خوبه نسبت به قیمت من ۵۰۰ گرفتم البته,پیشنهاد می‌کنم
808,راضی کننده بود,پیشنهاد می‌کنم
809,عالی,پیشنهاد می‌کنم
810,عالیه,پیشنهاد می‌کنم
811,افتضاح,پیشنهاد نمی‌کنم
812,خیلی پنکه جمع و جور و خوبیه,پیشنهاد می‌کنم
813,پنکه رو میزی,پیشنهاد می‌کنم
814,پرتاب باد خوبی داره,پیشنهاد می‌کنم
815,پنکه جمع و جور و با کیفیتی هست و واقعا کاربردی,پیشنهاد می‌کنم
816,کاربردی,پیشنهاد می‌کنم
817,تابستون کارم رو راه انداخت پرتاب باد مناسب صدای قابل قبول,پیشنهاد می‌کنم
818,پرتاب باد خوب,پیشنهاد می‌کنم
819,پنکه رومیزی,پیشنهاد می‌کنم
820,عالی,پیشنهاد می‌کنم
821,خیلی قیمتش بالا رفته اما کیفیت دمنده خوبه و سالها براتون کار میکنه امیدوارم جدیدا هم همینطور باشن,پیشنهاد می‌کنم
822,عالی,پیشنهاد می‌کنم
823,بسیار جمع و جور و باکیفیت,پیشنهاد می‌کنم
824,بد نیست,پیشنهاد می‌کنم
825,عالیه با قدرت باد خوب برا میز کار,پیشنهاد می‌کنم
826,عالی شک نکنید,پیشنهاد می‌کنم
827,برای کارکراتین استفاده میکنم راضیم,پیشنهاد می‌کنم
828,پنکه دمنده,پیشنهاد می‌کنم
829,عالی,پیشنهاد می‌کنم
830,واقعا خوب بود,پیشنهاد می‌کنم
831,خیلی خوب و کم مصرف,پیشنهاد می‌کنم
832,خوبه,مطمئن نیستم
833,عالی,پیشنهاد می‌کنم
834,عالیه,پیشنهاد می‌کنم
835,راضی بودم,پیشنهاد می‌کنم
836,راضی کننده,پیشنهاد می‌کنم
837,بسیار عالی و ارزش خرید بالا داره,پیشنهاد می‌کنم
838,کاملا کرایه ارسال غیر منصفانه هست و بیرحمانه,پیشنهاد نمی‌کنم
839,پنکه رو میزی,پیشنهاد می‌کنم
840,پنکه رومیزی دمنده,پیشنهاد می‌کنم
841,معرکه,پیشنهاد می‌کنم
842,عالیییی,پیشنهاد می‌کنم
843,بسیار عالی و کم صدا,پیشنهاد می‌کنم
844,اصلا تو عمرم چیز به این خوبه ندیدم من تو روز حداقل ۱۷ ساعت استفاده میکنم الان بعد یک سال یه اخ هم نگفته عالیه حتما بخرین ولی این محصول دو سایز متوسط و بزرگ دیگه هم داره به اینم توجه کنین فضاتون چقدره و پنکه متناسب با اون فضا رو بخرین,پیشنهاد می‌کنم
845,ازش راضیم,پیشنهاد می‌کنم
846,مناسب اتاق خواب یا دفتر کار,پیشنهاد می‌کنم
847,عالی,پیشنهاد می‌کنم
848,برای محیط کوچک مناسبه درکل بدنیست ارزش خریدداره,پیشنهاد می‌کنم
849,پنکه رومیزی,مطمئن نیستم
850,عالیی ولی مراقب باشید زمین نخوره که بعدن صدا میده,پیشنهاد می‌کنم
851,کیفیت و قدرت خوبی داره، سرعتش جابجاست...قیمت بالا,مطمئن نیستم
852,کیفیت خوب و مصرف کم,پیشنهاد می‌کنم
853,خوب به نسبت قیمت. سبکه و پرتاب باد خوبی داره. فقط روی سطح میز لیز می خوره و تو مدت زمان طولانی جابجا می شه.,پیشنهاد می‌کنم
854,دمنده دیگه نیاز به تعریف نداره,پیشنهاد می‌کنم
855,عالی.,پیشنهاد می‌کنم
856,پنکه رومیزی,پیشنهاد می‌کنم
857,خوب بود,پیشنهاد می‌کنم
858,صدای زیاد,مطمئن نیستم
859,با کیفیت و جنس خوب,پیشنهاد می‌کنم
860,واقعا راضی بودم خیلی کم جا و شیکه,پیشنهاد می‌کنم
861,این پنکه عالیه,پیشنهاد می‌کنم
862,خنک,پیشنهاد می‌کنم
863,کارآمد و کمک کننده.,پیشنهاد می‌کنم
864,کیفیت جالب نیست,مطمئن نیستم
865,پنکه رومیزی,پیشنهاد می‌کنم
866,جنس,مطمئن نیستم
867,روش اصلاح سرعت,پیشنهاد می‌کنم
868,عالی و کار راه انداز,پیشنهاد می‌کنم
869,کیفیت خوبی داره،قیمت محصول بالاست.,پیشنهاد می‌کنم
870,خیلی خوب بود,پیشنهاد می‌کنم
871,عالی,پیشنهاد می‌کنم
872,بسیار مفید و کاربردی با دوام بالا,پیشنهاد می‌کنم
873,شکستگی داشت عودت دادم,مطمئن نیستم
874,بادش خوبه,پیشنهاد می‌کنم
875,بینظیره,پیشنهاد می‌کنم
876,عالی,پیشنهاد می‌کنم
877,عالی,پیشنهاد می‌کنم
878,خیلی خوب و کاربردی بود,پیشنهاد می‌کنم
879,عالی,پیشنهاد می‌کنم
880,سلطان,پیشنهاد می‌کنم
881,پیشنهاد می کنم,پیشنهاد می‌کنم
882,خوب,پیشنهاد می‌کنم
883,به نظرم این پنکه کوچیک که جای زیادی نمیگیره برای هر خونه ای یا دفتر کار لازمه,پیشنهاد می‌کنم
884,عالی,پیشنهاد می‌کنم
885,بی صدا و مناسب برای روی میز کار,پیشنهاد می‌کنم
886,ارسال این کالا دقیق بود,پیشنهاد می‌کنم
887,خیلی خوبه دوتا سفارش دادم عالی,پیشنهاد می‌کنم
888,پنکه خوبیه,پیشنهاد می‌کنم
889,پنکه رومیزی دمنده,پیشنهاد می‌کنم
890,کوچولو وجمع وجور برای یک نفر عالیه,پیشنهاد می‌کنم
891,مرجوع کردم,مطمئن نیستم
892,کیفیت خوب و کاربردی,پیشنهاد می‌کنم
893,با کیفیت و کار راه انداز,پیشنهاد می‌کنم
894,پنکه دمنده,پیشنهاد می‌کنم
895,فن کار راه بنداز,پیشنهاد می‌کنم
896,با توجه به قیمت وقدرتش پرتاب باد خوبی داره,پیشنهاد می‌کنم
897,از خریدم راضیم,پیشنهاد می‌کنم
898,خیلی عالیه,پیشنهاد می‌کنم
899,فوق العاده,پیشنهاد می‌کنم
900,حرف نداره توصیه میکنم,پیشنهاد می‌کنم
901,کلیداش برعکسه,پیشنهاد نمی‌کنم
902,خیلی راضی کیفیت زندگیتون رو در گرما بالا میبره:),پیشنهاد می‌کنم
903,بسیار عالی,پیشنهاد می‌کنم
904,عالی,پیشنهاد می‌کنم
905,عالی,پیشنهاد می‌کنم
906,پنکه رومیزی دمنده مدل Haleh,پیشنهاد می‌کنم
907,خوب و در حالت یک قوی هست و دو حالت بعدی متوسط، در کل عالیه,پیشنهاد می‌کنم
908,خوبه فقط عجیبه درجه هاش از زیاد به کمه,پیشنهاد می‌کنم
909,حوبه ولي هوادهي اش كمه,پیشنهاد می‌کنم
910,پنکه رومیزی دمنده مدل هاله,پیشنهاد می‌کنم
911,عالی,پیشنهاد می‌کنم
912,پیشنهاد میکنم,پیشنهاد می‌کنم
913,کالای ایرانی باکیفیت,پیشنهاد می‌کنم
914,عالی و پرکاربرد,پیشنهاد می‌کنم
915,من مدل بزرگش سفارش دادم واقعا عالی هست یک ضربه گیرم زیرش نصب کردم(فوم..ابر...کلا یک چیز نرم زیر پایش نصب کنید مقداری صدا کمتر میشه) خلاصه مدل کوچکش گرفتم بزرگه تنها نقطه ضعف صدا زیاد حالت دور تندش هست این کوچکه صدا کم قدرت مناسب درکل خوبه,پیشنهاد می‌کنم
916,راضی بودم,پیشنهاد می‌کنم
917,کالای ایرانی,پیشنهاد می‌کنم
918,بسیار کاربردی,پیشنهاد می‌کنم
919,صدای گیرکردن پره در درجه بالا,مطمئن نیستم
920,برای میز کار مناسبه,پیشنهاد می‌کنم
921,خیلی کاربردی و با ظاهر متفاوت,پیشنهاد می‌کنم
922,خوبه ولی کوچیکه,پیشنهاد نمی‌کنم
923,خیلی خوب و کاربردی,پیشنهاد می‌کنم
924,قشنگ و کم جا,پیشنهاد می‌کنم
925,خوب نسبت به قیمت,پیشنهاد می‌کنم
926,روزای گرم و بی کولری می طلبه,پیشنهاد می‌کنم
927,بسیار خوب,پیشنهاد می‌کنم
928,شگسته بودن دستگاه,مطمئن نیستم
929,عالی,پیشنهاد می‌کنم
930,خوب,پیشنهاد می‌کنم
931,پنکه. ومیزی,پیشنهاد می‌کنم
932,مناسب میزکار,پیشنهاد می‌کنم
933,مثل همیشه محصولات همدم را بدون شک میشه سفارش داد.,پیشنهاد می‌کنم
934,پنکه,پیشنهاد می‌کنم
935,پنکه دمنده,پیشنهاد می‌کنم
936,خوب و عالی,پیشنهاد می‌کنم
937,عالی,پیشنهاد می‌کنم
938,نسبت به قدو اندازه ش پرتاب باد خوبی داره,پیشنهاد می‌کنم
939,پنکه خوب,پیشنهاد می‌کنم
940,یه پنکه معمولی برای محیط خیلی کوچک,مطمئن نیستم
941,عااالیه برای روی میز کار کوچک و راحت,پیشنهاد می‌کنم
942,عالی عالی همون چیزی که میخواستم,پیشنهاد می‌کنم
943,پنکه رومیزی,پیشنهاد می‌کنم
944,از کالا راضی بودم اما از بسته بندی اصلا!!!!,پیشنهاد می‌کنم
945,زیبا,پیشنهاد می‌کنم
946,برای یک نفر خوبه بعضی اوقات صدا میده که با یه ضربه قطع میشه! در کل راضی ام قابل حمله,پیشنهاد می‌کنم
947,من راضیم، کفیت خوبی دارد.,پیشنهاد می‌کنم
948,7,مطمئن نیستم
949,برای یک سال خوب عمر کرد,مطمئن نیستم
950,من دوتا خریدم یکیش خوب بود اون یکی نه,مطمئن نیستم
951,رضایت را جلب می کند.,پیشنهاد می‌کنم
952,کاربردی خوبه,پیشنهاد می‌کنم
953,اول ملت میگفتن این چیه,پیشنهاد می‌کنم
954,خوبه,پیشنهاد می‌کنم
955,خوبه,پیشنهاد می‌کنم
956,برای یک نفر عالیه و من راضی هستم.,پیشنهاد می‌کنم
957,پنکه رو میزی,پیشنهاد می‌کنم
958,خیلی خوب بود برا اتاق کوچیک مناسب بود,پیشنهاد می‌کنم
959,کم صدا وکیفیت خوبی داشت,پیشنهاد می‌کنم
960,پنکه خوب و در دور 1 و 2 نسبتاً بی صدا هست و در دور 3 کمی صدا افزایش پیدا میکنه که طبیعیه کلید افزایش دور موتور برعکس هست و از زیاد به کم شروع میشه و با اینکه همه اینو مطرح کردن تولید کننده یه زحمت بخ خودش نمیده اینو برطرف کنه و رضایت مشتری ها بیشتر بشه در کل خوبه و راضی هستیم ان شاءالله که عمر مفیدش خوب باشه,پیشنهاد می‌کنم
961,دقیقاً مطابق نظرات قبلی بسیار خوب است,پیشنهاد می‌کنم
962,از همه نظر عالیه,پیشنهاد می‌کنم
963,کیفیت خوبی داره,پیشنهاد می‌کنم
964,برای کسی خریدم.من که خوشم نیومد.نه بادش جالب بود نه کاراییش.اسباب بازیه بیشتر,مطمئن نیستم
965,پنکه رومیزی دمنده,پیشنهاد می‌کنم
966,عالییی,پیشنهاد می‌کنم
967,پنکه دمنده,مطمئن نیستم
968,عالی,پیشنهاد می‌کنم
969,خیلی خوبه بخرید,پیشنهاد می‌کنم
970,عالیه,پیشنهاد می‌کنم
971,خیلی رضایت دارم,پیشنهاد می‌کنم
972,پشنهاد خرید,پیشنهاد می‌کنم
973,عالیه,پیشنهاد می‌کنم
974,خوبه نظر خاصی ندارم,پیشنهاد می‌کنم
975,بد نیست خووبه,پیشنهاد می‌کنم
976,عالی,پیشنهاد می‌کنم
977,خیلی خوبه ممنون از دیجی کالا,پیشنهاد می‌کنم
978,عالی,پیشنهاد می‌کنم
979,خیلی راضی ام,پیشنهاد می‌کنم
980,خوب بود,پیشنهاد می‌کنم
981,با توجه به نظرات خریدم و واقعا راضی هستم,پیشنهاد می‌کنم
982,پنکه خوبی هست ،قشنگ اتاق خواب رو جواب میده.,پیشنهاد می‌کنم
983,پنکه,پیشنهاد می‌کنم
984,عالی,پیشنهاد می‌کنم
985,ازلحاظ کیفیت خوبه ولی بسته بندیش خیلی مزخرفه,پیشنهاد می‌کنم
986,عالی و بی صدا,پیشنهاد می‌کنم
987,خیلی خوب,پیشنهاد می‌کنم
988,خیلی خوبه,پیشنهاد می‌کنم
989,اندازه و باد دهی مناسبی داره,پیشنهاد می‌کنم
990,عالی,پیشنهاد می‌کنم
991,دوسش دارم,پیشنهاد می‌کنم
992,کیفیت مناسب,پیشنهاد می‌کنم
993,کارا,پیشنهاد می‌کنم
994,برا من عالی بود.,پیشنهاد می‌کنم
995,خوبه,پیشنهاد می‌کنم
996,بادش خوبه. سه سرعت داره که اشتباه تنظیم شده. کم جا میگیره و دو شاخه برق داره یو اس بی نداره.,پیشنهاد می‌کنم
997,پنکه رومیزی,پیشنهاد می‌کنم
998,من که راضی بودم,پیشنهاد می‌کنم
999,پنکه دمنده,پیشنهاد می‌کنم
1000,پنکه میزی,پیشنهاد می‌کنم
1001,عالی,پیشنهاد می‌کنم
1002,عالیه من راضی ام,پیشنهاد می‌کنم
1003,عالیه,پیشنهاد می‌کنم
1004,خوب بود,پیشنهاد می‌کنم
1005,پرتاب باد خوبی داره,پیشنهاد می‌کنم
1006,مناسب کارگاه,پیشنهاد می‌کنم
1007,روی دور کند هوادهی بسیار خوبی داره و صدای کم، ولی مشکلی که داره درجه تنظیم سرعت برعکسه از زیاد شروع میشه و به کم میرسه که نقص تولید چون تو جای دیگه دیدم درست بود,مطمئن نیستم
1008,عالی,پیشنهاد می‌کنم
1009,عالیه,پیشنهاد می‌کنم
1010,خوب بود,پیشنهاد می‌کنم
1011,خوب بود,پیشنهاد می‌کنم
1012,خوبه ، درست کار میکنه,پیشنهاد می‌کنم
1013,اگه قیمتش بالاتر نره ،خوبه وگرنه نمیرزه .اتوماتیک هم هست .یعنی اگه داغ بشه ،خاموش میشه و تا روشن شدن مجدد یکمی زمان میبره .از صبح تا شب و از شب تا صبح روشن هست ولی داغ نمیکنه .یه روز افتاده بود روی پتو و همینطور کار میکرد ،داغ شده بود و اتومات خاموش شده بود.,پیشنهاد می‌کنم
1014,با اینکه کوچیکه خوب خنک میکنه,پیشنهاد می‌کنم
1015,خوبه,پیشنهاد می‌کنم
1016,واقعا خنک و عالی,پیشنهاد می‌کنم
1017,پنکه,پیشنهاد می‌کنم
1018,پرتاب بادش عالیه تازه تحویل گرفتم. شانزده روز طول کشید که به دستم برسه، پول پستش هم گرون بود با وجود اینکه عضو دیجی پلاس بودم پست رایگان بهش تعلق نگرفت. جعبه اش هم پاره بود. ولی خنک کنندگی و‌پرتاب بادش عالیه,پیشنهاد می‌کنم
1019,عالیه,پیشنهاد می‌کنم
1020,نظر درباره پنکه رومیزی دمنده,پیشنهاد می‌کنم
1021,به نظرم وخوب وکارراه اندازه صدای فنش خوبه,پیشنهاد می‌کنم
1022,باید بگم که در مجموع پنکه خوبی هست فقط من دو مورد منفی رو لازم میدونم بگم که باعث شد من نمره کامل بهش ندم. اول اینکه دو بخش جلویی و عقبی پایه‌ها کمی اختلاف ارتفاع دارن که وقتی سرعت رو زیاد میکنم باعث میشه لق بزنه و صدا بده. دوم هم اینکه من چون یک محافظ برق حساس برای کامپوترم استفاده میکنم متوجه شدم که هنگام تغییر سرعت پنکه بر روی خط برق نوسان ایجاد میشه چون درست در همون لحظه باعث قطع محافظ و خاموش شدن کامپیوتر میشه. این مورد ٤-٥ دفعه اتفاق افتاد پس اتفاقی نبوده و پنکه از این ...,پیشنهاد می‌کنم
1023,چراباید چیزی که سفارش داده میشه تحویل مشتری داده نشه,مطمئن نیستم
1024,باحاله,پیشنهاد می‌کنم
1025,عالی و پر قدرت دو تا گرفتم اصلا هم داغ نمیکنه,پیشنهاد می‌کنم
1026,کیفیت خوبی داره و برای میز کار بهترین گزینه است,پیشنهاد می‌کنم
1027,پنکه جون دار,پیشنهاد می‌کنم
1028,کالای با کیفیت,پیشنهاد می‌کنم
1029,فقط لرزش گیر نداره خودت باید زیرش یه چیز نرم بزاری لرزششو بگیره,باددهی خوب نسبت به مصرف انرژیش
1030,پنکه,پیشنهاد می‌کنم
1031,کاربردی و مقاوم,پیشنهاد می‌کنم
1032,بسیار خوش ساخت و با کیفیت است. محصول داخلی با گارانتی و البته قیمت یکمی تند است.,پیشنهاد می‌کنم
1033,کارایی داره,پیشنهاد می‌کنم
1034,مقرون به صرفه و کارگشا,پیشنهاد می‌کنم
1035,خیلی عالی,پیشنهاد می‌کنم
1036,پنکه با کیفیتی است و برای رو میزی خیلی عالیه و توصیه دمیکنم,پیشنهاد می‌کنم
1037,پنکه دمنده,مطمئن نیستم
1038,خوبه، کار راه اندازه,سبک
1039,رضایت,پیشنهاد می‌کنم
1040,یکمی حس اسباب بازی بودن داره,مطمئن نیستم
1041,برند خوبیه اما ارسال با تاخیر و بسته بندیه معیوب توسط دیجی کالا,پیشنهاد نمی‌کنم
1042,بسیار گران,پیشنهاد نمی‌کنم
1043,عالیه,پیشنهاد می‌کنم
1044,بسیار زیبا و مناسب هست,پیشنهاد می‌کنم
1045,خوبه درکل بدک نیست فقط یه کم صداش زیاده,پیشنهاد می‌کنم
1046,به نسب قیمت خوبه,پیشنهاد می‌کنم
1047,خوب,پیشنهاد می‌کنم
1048,خوبه راضیم از خریدم,پیشنهاد می‌کنم
1049,عالی,پیشنهاد می‌کنم
1050,پنکه رومیزی,پیشنهاد می‌کنم
1051,خوب بود توصیه می‌شود,پیشنهاد می‌کنم
1052,قوی و کم صدا,پیشنهاد می‌کنم
1053,خوبه,پیشنهاد می‌کنم
1054,خوشکل و جمع جور,پیشنهاد می‌کنم
1055,پنکه,پیشنهاد می‌کنم
1056,خیلی مال نیست,پیشنهاد نمی‌کنم
1057,سرعت باد مناسب دکمه سرعت برعکسه,پیشنهاد می‌کنم
1058,خوبه,پیشنهاد می‌کنم
1059,خیلی کاربردیه,پیشنهاد می‌کنم
1060,خوب بود,پیشنهاد می‌کنم
1061,من پنج تا ازینا برای شرکت گرفتم از محاسنش صدای کم شه,پیشنهاد می‌کنم
1062,قابل استفاده روی میز کار,پیشنهاد می‌کنم
1063,بسیار شیک و کار راه انداز,پیشنهاد می‌کنم
1064,فوق العادست,پیشنهاد می‌کنم
1065,"نرم ، کم صدا ، زیبا ، پرتاب باد حداکثر تا یک متر فاصله ، خیلی رضایتبخش , یکسال میشه که خریدمش و تابستان تقریبا 24 ساعته روشنه و گاهی بهش استراحت میدم فوق العاده ست . حتما یکی دیگر هم تهیه میکنم",پیشنهاد می‌کنم
1066,به نسبت مدل های مشابه باددهی مناسبی نداشت,پیشنهاد می‌کنم
1067,خیلی عالی,پیشنهاد می‌کنم
1068,پنکه رو میزی,پیشنهاد می‌کنم
1069,مقایسه دو تا سایز کوچیک و متوسط,پیشنهاد می‌کنم
1070,پنکه خوبیه ،یک هفتس ازش استفاده میکنم در طول روز حدوداً ۵ ساعت روشن میکنم ،سرظهر که هوا خیلی گرمه روی درجه ۳ که کمترین حالت روشن میکنم و جلوم میزارم با این حال اصلا گرمم نمیشه ،ولی فقط برای یک نفر مناسب که جلو خودتون بزارید و خنک بشید انتظار خنک کردن محیط رو نباید داشته باشید.,پیشنهاد می‌کنم
1071,پنکه رومیزی دمنده,مطمئن نیستم
1072,باکیفیت,پیشنهاد می‌کنم
1073,عالی از هر نظر,پیشنهاد می‌کنم
1074,پرتاب باد خوب,پیشنهاد می‌کنم
1075,سرعت فن ها خیلی خوبه و پرتاب باد مناسبی داره فقط نمیدونم چرا اهرم تنظیم سرعتش برعکسه ؟!,پیشنهاد می‌کنم
1076,پنکه,پیشنهاد می‌کنم
1077,تو تابستون خوبه برای شب,پیشنهاد می‌کنم
1078,خوب,پیشنهاد می‌کنم
1079,خوب و کاربردی هستش تا دو سه متر روبروش جواب میده,پیشنهاد می‌کنم
1080,پنکه رومیزی,پیشنهاد می‌کنم
1081,محصول خوبیه اما درجه زیاد و کمش جابه جا سیم پیچی شده,پیشنهاد می‌کنم
1082,برا یک نفر عالی,پیشنهاد می‌کنم
1083,عالی خیلی خیلی قدرتمند,پیشنهاد می‌کنم
1084,عالی بود,پیشنهاد می‌کنم
1085,خوبه,پیشنهاد می‌کنم
1086,پنکه رومیزی دمنده,پیشنهاد می‌کنم
1087,برای یک میز اداری و تک نفره مناسبه,پیشنهاد می‌کنم
1088,بعد از یک ماه نظر مینویسم,پیشنهاد می‌کنم
1089,کیفیتش خوبه و خوب خنک میکنه,پیشنهاد می‌کنم
1090,نسبت به قیمت بیسار عالی بود,پیشنهاد می‌کنم
1091,من برای خودم گرفتم آنقدر راضی بودم و تابستان کمکم کرد که یکی هم کادو گرفتم,پیشنهاد می‌کنم
1092,خوبه راضیم,پیشنهاد می‌کنم
1093,فعلا که همه چی اوکیه ولی لوازم برقی و دیجیتالی نیاز به زمان دارند در صورت لزوم آپدیت میکنم,پیشنهاد می‌کنم
1094,پنکه رومیزی خوبیه صداشم زیادنیست بادی که میزنه هم به نسبت اندازش خیلی خوب وجالبه,پیشنهاد می‌کنم
1095,هم قشنگه و هم کاربردی,پیشنهاد می‌کنم
1096,خووووب,مطمئن نیستم
1097,این اندازه برای اتاق خواب تقریبا ۱۲ متری خوبه اونم باید نزدیکت قرار بدی خوب باد بزنه برات برای جاهای گرمسیری اصلا مناسب نیست منیکه تو تبریزم و مثل جنوب کشور گرم نیس خیلی خوب جواب نمیده چه برسه به‌جاهای گرم....,پیشنهاد می‌کنم
1098,پنکه رومیزی,پیشنهاد می‌کنم
1099,ضعیف,مطمئن نیستم
1100,بد بود,مطمئن نیستم
1101,پرتاب باد خوب,پیشنهاد می‌کنم
1102,همراه کارمندان,پیشنهاد می‌کنم
1103,پنکه,پیشنهاد می‌کنم
1104,اگه خراب باشه پس نمیگیرن,پیشنهاد نمی‌کنم
1105,جنس بد,پیشنهاد نمی‌کنم
1106,پنکه رومیزی دمنده,پیشنهاد می‌کنم
1107,عالیه حرف نداره,پیشنهاد می‌کنم
1108,خوبه,پیشنهاد می‌کنم
1109,پنکه عالی,پیشنهاد می‌کنم
1110,راضیم,پیشنهاد می‌کنم
1111,براي يه فضاي كوچك خيلي خوبه,پیشنهاد می‌کنم
1112,پنکه رومیزی,پیشنهاد می‌کنم
1113,خیلی به نسبت قیمت و سایزش کارایی داره ، ولی کاش یه دسته برای جابه جایی و یه سیم پیچ داشت که سیمش جمع بشه,پیشنهاد می‌کنم
